OrderNum,WT,LabelledComponent,OrderDescription,WorkOrderStartDatetime,DowntimeStartDatetime,DowntimeEndDatetime,SCADADowntimeTotal,SCADADowntimeCount
461134187,WT02,lift,TWL02A Lift Service Teeside,27/06/2018 13:30,23/06/2018 21:39,25/06/2018 15:05,41.42666667,1
461134190,WT05,lift,TWL05A Lift Service Teeside,29/06/2018 08:15,26/06/2018 07:18,26/06/2018 15:00,7.6925,1
461134193,WT08,lift,TWL08A Lift Service Teeside,02/07/2018 13:45,26/06/2018 07:41,26/06/2018 14:48,7.115,1
461134194,WT09,lift,TWL09A Lift Service Teeside,03/07/2018 11:00,03/07/2018 10:00,03/07/2018 15:21,5.349444444,1
461134198,WT13,lift,TWL13B Lift Service Teeside,30/06/2018 08:15,22/06/2018 15:59,27/06/2018 14:58,51.91166667,2
461134201,WT16,lift,TWL16B Lift Service Teeside,06/07/2018 07:45,06/07/2018 06:57,06/07/2018 13:20,6.379166667,1
461134205,WT02,lift,TWL02A Crane Inspection Teeside,27/06/2018 13:30,23/06/2018 21:39,25/06/2018 15:05,41.42666667,1
461134208,WT05,lift,TWL05A Crane Inspection Teeside,29/06/2018 08:15,26/06/2018 07:18,26/06/2018 15:00,7.6925,1
461134211,WT08,lift,TWL08A Crane Inspection Teeside,03/07/2018 08:00,26/06/2018 07:41,26/06/2018 14:48,7.115,1
461134212,WT09,lift,TWL09A Crane Inspection Teeside,03/07/2018 14:00,03/07/2018 10:00,03/07/2018 15:21,5.349444444,1
461134216,WT13,lift,TWL13B Crane Inspection Teeside,30/06/2018 08:15,22/06/2018 15:59,27/06/2018 14:58,51.91166667,2
461134219,WT16,lift,TWL16B Crane Inspection Teeside,06/07/2018 11:15,06/07/2018 06:57,06/07/2018 13:20,6.379166667,1
461134221,WT18,lift,TWL18B Crane Inspection Teeside,08/05/2018 14:00,04/05/2018 07:36,04/05/2018 15:34,7.975555556,1
461134224,WT21,lift,TWL21C Lift Service Teeside,01/07/2018 11:30,28/06/2018 08:00,28/06/2018 14:37,6.6125,1
461134233,WT21,lift,TWL21C Crane Inspection Teeside,01/07/2018 11:30,28/06/2018 08:00,28/06/2018 14:37,6.6125,1
461152078,WT23,unclassified,TWL23C Teesside PM Plans,07/04/2018 07:45,04/04/2018 08:25,07/04/2018 13:43,13.39972222,2
461152080,WT25,unclassified,TWL25C Teesside PM Plans,16/04/2018 08:30,16/04/2018 07:16,17/04/2018 15:12,31.9275,1
461157632,WT19,unclassified,TWL19C Teesside PM Plans,11/05/2018 08:00,11/05/2018 07:38,11/05/2018 13:04,5.43,1
461157634,WT03,unclassified,TWL03A Teesside PM Plans,07/06/2018 07:45,31/05/2018 07:08,31/05/2018 17:35,10.45472222,1
461157636,WT06,unclassified,TWL06A Teesside PM Plans,19/04/2018 11:00,19/04/2018 10:21,19/04/2018 16:18,5.949166667,1
461157637,WT07,unclassified,TWL07A Teesside PM Plans,16/04/2018 10:30,16/04/2018 10:01,16/04/2018 16:42,6.690277778,1
461157641,WT12,unclassified,TWL12B Teesside PM Plans,02/06/2018 11:00,02/06/2018 10:11,02/06/2018 15:36,5.416111111,1
461157644,WT04,unclassified,TWL04A Teesside PM Plans,13/06/2018 07:45,13/06/2018 06:53,13/06/2018 14:53,8.003333333,1
461157645,WT11,unclassified,TWL11B Teesside PM Plans,01/06/2018 08:15,01/06/2018 07:31,01/06/2018 12:59,5.466111111,1
461157646,WT13,unclassified,TWL13B Teesside PM Plans,07/06/2018 07:45,04/06/2018 06:55,04/06/2018 12:01,5.105,1
461157647,WT14,unclassified,TWL14B Teesside PM Plans,11/06/2018 07:45,11/06/2018 06:45,11/06/2018 15:04,8.314166667,1
461157649,WT16,unclassified,TWL16B Teesside PM Plans,03/05/2018 08:30,03/05/2018 08:05,03/05/2018 15:43,7.628611111,1
472708789,WT23,other_parts,TWL23C TEESSIDE RETRO 481 PCW TOP COVER,22/03/2016 15:45,22/03/2016 08:50,22/03/2016 16:19,7.473333333,1
472708812,WT23,other_parts,TWL23C TEESSIDE RETRO 153 FAN CABLE A6,23/03/2016 13:00,22/03/2016 08:50,23/03/2016 16:26,14.81027778,2
472926586,WT01,electrical,TWL1A VD SENSOR FAULT,12/01/2016 12:00,12/01/2016 08:31,12/01/2016 15:29,6.965,1
472932420,WT01,unclassified,WTG1A RTF - 15006 - G2 SAFETY,05/04/2016 09:00,26/03/2016 11:05,29/03/2016 10:23,71.29972222,1
472932423,WT02,unclassified,WTG2A RTF - 15006 - G2 SAFETY,05/04/2016 09:00,01/04/2016 08:56,04/04/2016 15:26,13.23888889,2
472933144,WT04,unclassified,WTG4A RTF - 15086 - DEF 230VAC VDC,01/04/2016 09:30,01/04/2016 09:27,01/04/2016 14:46,5.327222222,1
472933145,WT05,unclassified,WTG5A RTF - 15086 - DEF 230VAC VDC,28/06/2016 11:00,28/06/2016 07:34,28/06/2016 14:49,7.253888889,1
472933146,WT06,unclassified,WTG6A RTF - 15086 - DEF 230VAC VDC,31/03/2016 10:30,31/03/2016 07:52,31/03/2016 15:02,7.156666667,1
472933147,WT07,unclassified,WTG7A RTF - 15086 - DEF 230VAC VDC,19/04/2016 15:30,15/04/2016 07:54,18/04/2016 16:22,80.46888889,1
472933148,WT08,unclassified,WTG8A RTF - 15086 - DEF 230VAC VDC,02/03/2016 11:00,27/02/2016 09:36,02/03/2016 15:38,102.0333333,1
472933151,WT09,unclassified,WTG9A RTF - 15086 - DEF 230VAC VDC,19/04/2016 09:00,19/04/2016 07:48,19/04/2016 15:15,7.450833333,1
472933152,WT10,unclassified,WTG10B TEESSIDE RETRO 676 DEFECT 230VAC,21/01/2016 10:00,21/01/2016 08:49,21/01/2016 14:33,5.746388889,1
472933153,WT11,unclassified,WTG11B TEESSIDE RETRO 676 DEFECT 230VAC,31/01/2016 09:30,31/01/2016 08:46,31/01/2016 13:54,5.1275,1
472933154,WT12,unclassified,WTG12B TEESSIDE RETRO 676 DEFECT 230VAC,31/01/2016 11:30,31/01/2016 08:55,31/01/2016 14:01,5.102222222,1
